               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,             0.01489,            0.010622,           0.0032529,             0.92325,             0.76475,             0.84805,             0.61273,            0.033484,            0.021906,            0.015486,           0.0036145,           0.0036145,           0.0036145
                 131,            0.014903,            0.010632,            0.003249,             0.92117,             0.79997,             0.86825,             0.61893,            0.032892,            0.020938,            0.013899,            0.003565,            0.003565,            0.003565
                 132,            0.014115,            0.010758,           0.0029513,             0.90996,             0.79559,             0.86117,             0.62861,            0.032908,            0.020876,             0.01393,           0.0035155,           0.0035155,           0.0035155
                 133,            0.014567,            0.010635,           0.0032761,             0.88812,             0.78137,              0.8537,             0.63266,            0.032406,            0.020329,            0.013945,            0.003466,            0.003466,            0.003466
                 134,             0.01387,            0.010407,            0.003011,             0.92088,             0.76708,             0.83855,             0.62881,            0.032716,            0.020348,            0.013661,           0.0034165,           0.0034165,           0.0034165
                 135,            0.013771,            0.010339,           0.0030894,             0.87941,             0.73333,             0.80762,             0.60668,            0.033954,            0.022273,            0.014794,            0.003367,            0.003367,            0.003367
                 136,            0.014604,            0.011055,           0.0032626,             0.90993,             0.78075,             0.85621,               0.617,            0.033541,            0.020903,            0.013966,           0.0033175,           0.0033175,           0.0033175
                 137,             0.01455,            0.010949,           0.0032737,             0.89036,               0.785,             0.84812,             0.61613,              0.0336,            0.020607,             0.01352,            0.003268,            0.003268,            0.003268
                 138,            0.014985,            0.011138,           0.0032903,             0.89501,             0.77665,             0.83956,             0.61179,            0.033822,              0.0211,            0.013672,           0.0032185,           0.0032185,           0.0032185
                 139,            0.014924,            0.011174,           0.0031895,             0.89333,             0.76911,             0.83642,             0.61019,            0.033792,            0.020546,            0.012447,            0.003169,            0.003169,            0.003169
                 140,             0.01456,            0.010828,           0.0031952,             0.87801,             0.77723,             0.83273,             0.61235,            0.033193,            0.020418,            0.012229,           0.0031195,           0.0031195,           0.0031195
                 141,            0.014192,            0.010665,           0.0030159,             0.90367,             0.77326,             0.85022,             0.61826,             0.03325,            0.020553,            0.011956,             0.00307,             0.00307,             0.00307
                 142,            0.013467,              0.0103,           0.0029287,             0.91772,              0.7952,             0.87487,              0.6334,            0.032654,            0.020343,            0.011904,           0.0030205,           0.0030205,           0.0030205
                 143,            0.013871,              0.0105,           0.0031071,             0.89788,             0.79227,             0.86897,             0.63767,            0.032558,            0.020422,            0.012513,            0.002971,            0.002971,            0.002971
                 144,            0.013433,            0.010412,           0.0033103,             0.90631,             0.78266,             0.85097,             0.63988,            0.032227,            0.020517,            0.012282,           0.0029215,           0.0029215,           0.0029215
                 145,            0.013857,            0.010667,           0.0030119,             0.92805,             0.78373,             0.86319,             0.63574,            0.032386,            0.020892,            0.012021,            0.002872,            0.002872,            0.002872
                 146,            0.013315,            0.010239,           0.0030271,             0.93968,             0.78819,             0.86066,             0.63787,            0.032771,            0.021326,            0.011678,           0.0028225,           0.0028225,           0.0028225
                 147,            0.013908,            0.010372,           0.0029381,             0.94496,             0.78356,             0.85495,             0.63307,            0.032878,            0.021648,            0.011909,            0.002773,            0.002773,            0.002773
                 148,            0.013267,            0.010328,           0.0029911,             0.94438,             0.77468,             0.84761,             0.63749,            0.032725,            0.021167,             0.01206,           0.0027235,           0.0027235,           0.0027235
                 149,            0.013395,            0.009828,           0.0031479,             0.94286,             0.77042,             0.84057,             0.63298,            0.033087,            0.021559,            0.012727,            0.002674,            0.002674,            0.002674
                 150,            0.013421,            0.009867,           0.0031026,             0.94359,             0.78399,             0.85154,             0.63606,            0.032933,            0.020851,            0.012704,           0.0026245,           0.0026245,           0.0026245
                 151,              0.0134,            0.010068,           0.0032038,             0.94296,             0.77015,             0.84704,             0.63585,            0.032427,            0.020932,            0.013822,            0.002575,            0.002575,            0.002575
                 152,            0.013281,           0.0097932,           0.0028859,             0.94055,             0.77501,             0.84847,             0.63187,            0.032369,            0.021558,            0.013859,           0.0025255,           0.0025255,           0.0025255
                 153,            0.012895,            0.010282,           0.0029799,             0.94254,             0.76948,             0.84567,             0.62759,            0.032992,            0.022202,            0.013887,            0.002476,            0.002476,            0.002476
                 154,            0.013359,            0.010084,           0.0030435,             0.91982,             0.77144,             0.84098,             0.62089,            0.033133,            0.022659,            0.013097,           0.0024265,           0.0024265,           0.0024265
                 155,            0.012444,           0.0094549,           0.0029508,             0.91493,               0.775,             0.84612,             0.62055,            0.032906,            0.022826,            0.013406,            0.002377,            0.002377,            0.002377
                 156,            0.013168,            0.009491,            0.003104,             0.93241,              0.7669,             0.84498,             0.62085,            0.032849,            0.022971,            0.013405,           0.0023275,           0.0023275,           0.0023275
                 157,            0.012857,           0.0099645,           0.0031947,             0.90993,             0.76833,             0.84121,             0.61496,            0.033459,            0.023485,            0.013253,            0.002278,            0.002278,            0.002278
                 158,            0.012896,           0.0097717,           0.0029592,             0.92158,              0.7792,             0.84526,             0.61069,            0.033515,             0.02338,            0.012949,           0.0022285,           0.0022285,           0.0022285
                 159,            0.012826,           0.0096377,           0.0031551,             0.93233,                0.79,             0.85455,              0.6191,            0.033363,            0.022977,            0.013362,            0.002179,            0.002179,            0.002179
